gene,mean_AD,mean_Control,log2FC,t_stat,p_value,p_adj
LPHN3,8.566417643960635,10.081489612173101,-1.5150719682124656,-11.59311512352706,1.9071105045409554e-10,2.016006514350244e-06
KIAA1211L,9.946111483901882,12.05995976656035,-2.113848282658468,-10.630470558416754,6.874640373093687e-10,3.3981582378178526e-06
TROVE2,12.093579524297537,9.862095361373324,2.231484162924213,10.89499062693144,1.7224381149416011e-09,3.3981582378178526e-06
ADSL,8.28970962058597,9.63644210918894,-1.346732488602969,-9.784664166557029,2.893143897489421e-09,3.3981582378178526e-06
TMEM129,9.102443513877164,8.012917860366484,1.0895256535106803,9.932966269343273,2.297408324724383e-09,3.3981582378178526e-06
ALKBH6,8.311941901448183,10.639196199526095,-2.3272542980779125,-9.975753140026926,2.085902966992002e-09,3.3981582378178526e-06
PTP4A2,12.153605441578184,10.500809628055283,1.6527958135229017,10.693005870753957,1.50434310238375e-09,3.3981582378178526e-06
SDF4,8.090881987801252,10.591857536165845,-2.5009755483645932,-10.396583599351557,2.0535296065281006e-09,3.3981582378178526e-06
MAPRE2,9.387314501974187,11.272722641610034,-1.8854081396358477,-9.795740818058771,2.7962281028495696e-09,3.3981582378178526e-06
FAM127A,9.69288157952301,12.17771907749638,-2.48483749797337,-10.283532294248674,5.7038144453102786e-09,5.0245852084479126e-06
PRDX2,9.715563485777698,12.490679667042896,-2.775116181265197,-9.55114248301054,5.021322322792211e-09,5.0245852084479126e-06
ZBED6,8.38302406590201,6.524245905301177,1.8587781606008331,9.509850342306848,5.266018054030409e-09,5.0245852084479126e-06
SNRNP27,8.71870412892906,9.972725266098301,-1.2540211371692411,-9.361552466292984,7.356924845262748e-09,5.302803063583354e-06
IGF1R,10.787763229189318,8.575752407353695,2.212010821835623,9.570936531525794,7.179115300727039e-09,5.302803063583354e-06
ZHX1,9.927472394373998,8.605319186029014,1.322153208344984,9.433967337423129,7.524552639650961e-09,5.302803063583354e-06
KIAA1598,11.97986207458978,9.742973103239645,2.236888971350135,8.987859684369216,1.2605159040495408e-08,8.02878720936496e-06
MLIP,7.048590035714158,9.03982523915544,-1.991235203441283,-9.646425330512278,1.2911681256191876e-08,8.02878720936496e-06
USP22,10.981788844091104,9.912051491400494,1.0697373526906109,8.96069601117927,1.5493652729646064e-08,8.513809988725487e-06
AFF1,10.277019009553381,7.731834686641617,2.545184322911764,9.477260142066667,1.478217134434075e-08,8.513809988725487e-06
HSPB11,9.378119404032702,10.89566398356959,-1.517544579536887,-9.153931901357785,1.6107861108174227e-08,8.513809988725487e-06
DNM1,11.077721540542118,13.323112954168273,-2.2453914136261552,-8.701920569312488,2.16939945418543e-08,9.173088652077671e-06
AP4S1,8.376106534299359,10.309750575644554,-1.933644041345195,-8.896576198494136,2.0734097648512836e-08,9.173088652077671e-06
RPS3,11.531098248764176,9.248718189076007,2.282380059688169,8.701074974861303,2.11538499482781e-08,9.173088652077671e-06
ZNF397,10.44094022428941,8.466122053918399,1.9748181703710106,10.180414493528762,2.0113228305042157e-08,9.173088652077671e-06
SEPT9,12.155267809133768,10.689482170275456,1.4657856388583124,9.112348948623508,2.0352320887513342e-08,9.173088652077671e-06
ST18,8.246764793006035,5.924626355318109,2.3221384376879257,8.731452959733668,2.5727561325109274e-08,1.0460232721835775e-05
ZNF582-AS1,7.1056251744447305,8.527954772316487,-1.422329597871757,-8.597573326919266,2.7774263872834734e-08,1.0874138644434666e-05
FTO,9.944431299087523,10.770368043334289,-0.825936744246766,-8.611889402213027,3.080967272350279e-08,1.0929986813836649e-05
STOX2,10.481409151388473,12.144682758434358,-1.6632736070458858,-8.74077818800234,3.082352597574477e-08,1.0929986813836649e-05
SMYD5,4.545061425961874,8.29788413855189,-3.7528227125900155,-8.789127039392799,3.101878766579316e-08,1.0929986813836649e-05
HSPA2,10.20604814092965,7.820275700789642,2.3857724401400073,9.78298547858427,3.6685008259267186e-08,1.250958781641011e-05
USP47,10.7310066566927,8.941357264075197,1.7896493926175019,8.886666784329746,4.395185136084549e-08,1.418467301054775e-05
PFKM,9.226839119613427,10.998679678078803,-1.7718405584653762,-8.506818366569325,4.428097714010744e-08,1.418467301054775e-05
ZNF512B,8.519102230271043,9.57863967920829,-1.059537448937247,-8.273279187282746,4.798874000226361e-08,1.492026384011555e-05
IL17RD,9.307470437209906,7.613717200666778,1.6937532365431283,8.244416846815833,5.1496874037511047e-08,1.493551749635832e-05
LINC00674,10.297693014997884,8.444394943377322,1.8532980716205625,8.204546340116114,5.6515060056222956e-08,1.493551749635832e-05
CWF19L2,9.214150567616725,7.256016632508964,1.9581339351077611,8.279560566943747,5.510855465789598e-08,1.493551749635832e-05
IDH3G,6.924508046160575,9.609280012719188,-2.6847719665586123,-8.355893481169408,5.2839440682249684e-08,1.493551749635832e-05
MRPL9,8.852252050061654,10.58300974645441,-1.7307576963927556,-8.246912608499938,5.638334105018921e-08,1.493551749635832e-05
SGK1,9.758488987677575,7.953810999095357,1.8046779885822177,8.197619543837748,5.639712908723476e-08,1.493551749635832e-05
KDM2A,10.555246706575405,9.344651299290256,1.2105954072851492,8.288848539290312,6.068852077441225e-08,1.5647276905031996e-05
FAHD2A,8.98724436921442,10.575774294692264,-1.5885299254778449,-8.276109425305071,6.835146271986543e-08,1.642143891844767e-05
TXNDC15,8.300582038705572,9.538686556786375,-1.238104518080803,-8.683962490988186,6.663387495677887e-08,1.642143891844767e-05
LDOC1,8.992957935491251,11.265550950028324,-2.2725930145370725,-8.91369251990302,6.749624411251886e-08,1.642143891844767e-05
DPYSL4,8.77027744425051,10.441282176980007,-1.6710047327294966,-8.046552261570667,7.790710253782489e-08,1.830124402060771e-05
FGF1,9.900031315749292,7.997640473445594,1.9023908423036975,8.223178222768485,8.257203255877001e-08,1.897541209084256e-05
USP11,9.808958901182686,11.98705277631362,-2.1780938751309336,-8.097793852310911,8.483480913752484e-08,1.9080612072186703e-05
ITPKB,9.989182774917126,5.576645669956331,4.412537104960794,7.955573333273395,9.547456853246253e-08,1.9476740222111828e-05
TXNIP,10.408820045963264,8.288916727095192,2.1199033188680723,7.999478438524919,9.949332816138858e-08,1.9476740222111828e-05
INTS1,7.208476207265996,8.125711700310346,-0.91723549304435,-8.574822253541512,9.022338233360301e-08,1.9476740222111828e-05
GPI,7.73619014831459,10.302638005405896,-2.5664478570913065,-8.082158069422768,9.930686379723224e-08,1.9476740222111828e-05
LIN37,7.1098956085788485,9.29400028379892,-2.1841046752200723,-8.581719795367981,9.805441620942152e-08,1.9476740222111828e-05
OXLD1,7.906794409811664,9.70160842522669,-1.7948140154150254,-8.146115439699916,9.756513890573515e-08,1.9476740222111828e-05
TUBG2,7.964565147971894,9.358769879561518,-1.3942047315896238,-7.954374343103966,9.656390711798553e-08,1.9476740222111828e-05
PROSC,8.211208582112747,9.978253489230228,-1.7670449071174819,-8.153041403447874,1.1006372627879263e-07,2.1154248190783942e-05
CAND2,9.67947791797019,11.170737714094132,-1.4912597961239413,-8.402372703368357,1.243383689588803e-07,2.135881009630488e-05
FLYWCH1,7.710747798598386,9.73201639310892,-2.0212685945105333,-8.952563498604045,1.291439913529518e-07,2.135881009630488e-05
CAP1,10.785908586255639,11.55717454564756,-0.771265959391922,-7.804940306993779,1.2239140200539727e-07,2.135881009630488e-05
AP1G2,8.265899114509011,10.790739723944771,-2.52484060943576,-8.125510997822605,1.198048345391115e-07,2.135881009630488e-05
SMAD5,9.117267900425489,7.8404902367434115,1.2767776636820773,8.021345954505287,1.3133314315200238e-07,2.135881009630488e-05
TUBG1,6.829304590587368,9.209606389265113,-2.3803017986777455,-7.772262826888617,1.307806242071184e-07,2.135881009630488e-05
ATP5G1,9.054104102682018,11.05282747634603,-1.9987233736640118,-7.876096492833295,1.170014616909723e-07,2.135881009630488e-05
SIK2,9.878685020181456,8.327074164193213,1.5516108559882422,9.863739936057971,1.1482271680278848e-07,2.135881009630488e-05
GPAA1,7.532041098256181,9.382500843156135,-1.850459744899954,-7.789830814881959,1.280669153286443e-07,2.135881009630488e-05
NRCAM,10.729369597570676,12.384488767970007,-1.655119170399331,-9.36686238970121,1.1797765437732459e-07,2.135881009630488e-05
SMARCC1,8.998356862271212,6.835845683561269,2.162511178709943,7.79772275587113,1.3385978550033865e-07,2.143987564430424e-05
SPTAN1,11.361896644363418,12.855693851710448,-1.493797207347031,-7.81155632315075,1.5803016875227298e-07,2.2037261559517452e-05
DTNA,13.545938674331486,10.665084638051638,2.880854036279848,8.098904256616343,1.534169883013674e-07,2.2037261559517452e-05
LIFR,10.356825666219944,8.205325232122538,2.1515004340974055,7.767414147937465,1.631090684040794e-07,2.2037261559517452e-05
NADK2,10.425220439674261,9.152022470219164,1.2731979694550972,7.715686603366237,1.4657498844811914e-07,2.2037261559517452e-05
SAMM50,8.685755067529218,10.456889822102536,-1.7711347545733176,-7.748838262626775,1.638497462911933e-07,2.2037261559517452e-05
FKBP1B,9.608277249251163,11.238389116536856,-1.6301118672856934,-8.00714993101762,1.639276935927567e-07,2.2037261559517452e-05
VPS28,6.900022554155198,9.936800568479365,-3.0367780143241667,-8.59206538812042,1.646905366759889e-07,2.2037261559517452e-05
LYNX1,7.459214314262385,9.21482573660343,-1.7556114223410448,-7.862490706410954,1.5446138734501248e-07,2.2037261559517452e-05
LOC102723918,9.893597212692729,12.255706328697757,-2.362109116005028,-8.292846655947208,1.5757952762178562e-07,2.2037261559517452e-05
TMEM97,6.87538301744969,10.074880505731027,-3.199497488281337,-7.9693356712946715,1.5060480309355245e-07,2.2037261559517452e-05
MAP1S,7.223174600902263,9.00618039078789,-1.7830057898856264,-8.54167496123515,1.4650595661571934e-07,2.2037261559517452e-05
TRPS1,10.92417562550537,9.265064581992139,1.6591110435132315,7.678470202248768,1.6450642670311762e-07,2.2037261559517452e-05
MIF,8.721176653910415,11.673728851155943,-2.9525521972455273,-7.93491518031651,1.6097522677376756e-07,2.2037261559517452e-05
